Strategy,MR_lookback,MR_quantile,MR_long_short,MOM_lookback,MOM_long_short,MOM_neutral_band,trans_cost_bps,CAGR,Sharpe,Volatility,Max Drawdown,Win Rate,Avg Daily Turnover,MDD Start Index,MDD End Index,Start,End,Days
MR,3,0.2,false,,,,0.0,0.15035821184019937,0.7102658568012845,0.23703138128636736,-0.4131826132652684,0.5258552108194113,0.5138253431470061,27,97,2000-01-06,2019-12-31,5028
MR,3,0.2,true,,,,0.0,0.07266422819722962,0.6046836574499457,0.13004974200808217,-0.23051375798634866,0.5248607796340493,0.5189974139645912,41,98,2000-01-06,2019-12-31,5028
MR,3,0.4,false,,,,0.0,0.1580785927741808,0.8438234906064013,0.19685548743644576,-0.3184324143941397,0.5354017501988863,0.38989456932564154,3,165,2000-01-06,2019-12-31,5028
MR,3,0.4,true,,,,0.0,0.08167355389133579,0.8999539374895192,0.09194654749584402,-0.15349589004837105,0.5190930787589498,0.3943206683906903,341,430,2000-01-06,2019-12-31,5028
MR,5,0.2,false,,,,0.0,0.1418732963229603,0.6765464595208975,0.23838945523054847,-0.5947316854036119,0.5204934341424592,0.41512437810945274,5,191,2000-01-10,2019-12-31,5026
MR,5,0.2,true,,,,0.0,0.08122622165954141,0.6682408177180788,0.12948511116593067,-0.32776686757702345,0.5183048149621966,0.412636815920398,91,191,2000-01-10,2019-12-31,5026
MR,5,0.4,false,,,,0.0,0.1480930390872519,0.8048812445622667,0.19541057771235176,-0.3570444354485892,0.532033426183844,0.30855721393034824,0,42,2000-01-10,2019-12-31,5026
MR,5,0.4,true,,,,0.0,0.07515606694068944,0.8293030354803693,0.092566937157645,-0.19138689436656453,0.5159172304019101,0.30950248756218907,1313,1911,2000-01-10,2019-12-31,5026
MR,10,0.2,false,,,,0.0,0.15959175112300783,0.7498089724402154,0.23445391553696682,-0.4155475075488231,0.5239992033459471,0.30278884462151395,83,184,2000-01-18,2019-12-31,5021
MR,10,0.2,true,,,,0.0,0.07656134193833619,0.6416884931255091,0.12770754192922884,-0.2165832996907452,0.5226050587532364,0.3029880478087649,1306,1906,2000-01-18,2019-12-31,5021
MR,10,0.4,false,,,,0.0,0.1683595380359617,0.892900718547395,0.19583348035940526,-0.29095396804434503,0.5407289384584744,0.2299800796812749,0,37,2000-01-18,2019-12-31,5021
MR,10,0.4,true,,,,0.0,0.08124713597311572,0.9051453594733462,0.09087043436165831,-0.18039338063178578,0.5232025492929695,0.23102589641434262,83,186,2000-01-18,2019-12-31,5021
MOM,,,,63,false,0.0,0.0,0.04061205296707859,0.351903440600997,0.14175367233371614,-0.5170182527928338,0.4920507144294627,0.1035493827160494,7,739,2000-03-31,2019-12-31,4969
MOM,,,,63,false,0.002,0.0,0.04311966767529274,0.3716186115471216,0.14006405965517912,-0.5013929985397616,0.48802575971020323,0.10532742887815351,7,739,2000-03-31,2019-12-31,4969
MOM,,,,63,false,0.005,0.0,0.03845611282943384,0.33834032816591836,0.14096993480652437,-0.49591907980363337,0.48400080499094383,0.11139291465378422,7,739,2000-03-31,2019-12-31,4969
MOM,,,,63,true,0.0,0.0,-0.05703349488982801,-0.4237052900277572,0.12115823071497862,-0.7245495411284176,0.4928557053733145,0.06733091787439613,7,4219,2000-03-31,2019-12-31,4969
MOM,,,,126,false,0.0,0.0,0.04026233791571143,0.3494974539054474,0.1417718517226957,-0.5353076362994227,0.5071341214838972,0.07351681957186545,84,687,2000-06-30,2019-12-31,4906
MOM,,,,126,false,0.002,0.0,0.03872386004384465,0.3390183324994286,0.141805444045017,-0.5671394522837176,0.5059111292295149,0.07346585117227318,84,642,2000-06-30,2019-12-31,4906
MOM,,,,126,false,0.005,0.0,0.04621142528833411,0.3897052536704101,0.14177539203291167,-0.5827826492108253,0.5026498165511618,0.07506965681277607,84,641,2000-06-30,2019-12-31,4906
MOM,,,,126,true,0.0,0.0,-0.03954656590493377,-0.2730989769536336,0.12082840793055427,-0.6533467274654747,0.5024459845087648,0.0473666326877336,72,4147,2000-06-30,2019-12-31,4906
MOM,,,,252,false,0.0,0.0,0.025331061737214222,0.24772345200204784,0.14179052755857952,-0.5558010896763534,0.5060669456066945,0.04620562181767455,0,2111,2000-12-29,2019-12-31,4780
MOM,,,,252,false,0.002,0.0,0.02863786057419193,0.2705399809116838,0.14166088288911008,-0.5206775409851012,0.5046025104602511,0.04691009276696659,0,2111,2000-12-29,2019-12-31,4780
MOM,,,,252,false,0.005,0.0,0.02503501000313757,0.24539268743839304,0.14217753474590547,-0.5461542853839403,0.5025104602510461,0.050697495989398066,0,2111,2000-12-29,2019-12-31,4780
MOM,,,,252,true,0.0,0.0,-0.028805759530524222,-0.1885436190871311,0.11785678898464455,-0.6200833524871657,0.5085774058577406,0.03184069191602148,0,2776,2000-12-29,2019-12-31,4780
